tag,cluster,distance,turn
0,A,55,R
0,A,42,R
1,B,8,L
1,C,57,L
1,G,11,R
1,I,53,R
7,C ,31,R
7,I,33,L
7,B,75,R
7,J,5,L
2,G,14,L
2,H,59,L
12,G,99,R
12,H,44,R
13,U,20,L
13,V,31,R
13,T,41,L
13,W,41,R
13,X,69,R
13,Y,90,R
13,S,72,L
13,R,99,L
13,Q,128,L
13,AA,137,R
19,U,118,R
19,V,188,L
19,T,111,R
19,W,110,L
19,X,61,L
19,Y,54,L
19,S,80,R
19,R,52,R
19,Q,7,R
19,AA,13,L
21,AI,22,L
21,AQ,31,R
21,AH,39,L
27,AI,49,R
27,AQ,39,L
27,AH,28,R
33,AX,10,R
33,AR,19,L
33,AY,37,R
39,AX,57,L
39,AR,48,R
39,AY,32,L
34,BJ,53,L
44,BJ,29,R
45,BE,21,L
45,BC,32,F
48,BE,20,R
48,BC,14,R
49,BD,20,L
49,BF,69,L
49,BG,105,L
54,BD,108,R
54,BF,62,R
54,BG,26,R
50,BH,70,L
50,BB,98,L
42,BH,39,R
42,BB,24,R
43,BA,31,L
43,AU,13,R
43,AS,27,R
37,BA,51,R
37,AU,66,L
37,AS,27,L
40,AV,18,L
40,AW,57,L
30,AV,59,R
30,AW,19,R
31,AJ,12,L
31,AD,12,R
31,AK,28,L
31,AE,40,R
31,AF,57,R
25,AJ,67,R
25,AD,67,L
25,AK,31,R
25,AE,42,L
25,AF,22,L
28,AC,18,L
28,AB,60,L
18,AC,60,R
18,AB,18,R
16,P,36,L
16,N,70,L
16,O,42,L
16,M,111,L
10,P,88,R
10,N,44,R
10,O,80,R
10,M,7,R
11,E,39,R
5,E ,21,L
8,F,6,L
4,D,9,F
6,L,34,L
6,K,45,F
24,AG,8,F
26,AM,24,L
26,AP,56,L
26,AN,28,R
26,AO,53,R
36,AM,48,R
36,AP,22,R
36,AN,48,L
36,AO,23,L
38,AZ,5,F
0,1,0.001,R
0,2,0.001,B
0,3,0.001,L
1,2,0.001,R
1,3,0.001,B
1,0,0.001,L
2,3,0.001,R
2,0,0.001,B
2,1,0.001,L
3,0,0.001,R
3,1,0.001,B
3,2,0.001,L
12,13,0.001,R
12,14,0.001,B
12,15,0.001,L
13,14,0.001,R
13,15,0.001,B
13,12,0.001,L
14,15,0.001,R
14,12,0.001,B
14,13,0.001,L
15,12,0.001,R
15,13,0.001,B
15,14,0.001,L
20,21,0.001,R
20,22,0.001,B
20,23,0.001,L
21,22,0.001,R
21,23,0.001,B
21,20,0.001,L
22,23,0.001,R
22,20,0.001,B
22,21,0.001,L
23,20,0.001,R
23,21,0.001,B
23,22,0.001,L
32,33,0.001,R
32,34,0.001,B
32,35,0.001,L
33,34,0.001,R
33,35,0.001,B
33,32,0.001,L
34,35,0.001,R
34,32,0.001,B
34,33,0.001,L
35,32,0.001,R
35,33,0.001,B
35,34,0.001,L
44,45,0.001,R
45,44,0.001,L
51,50,0.001,L
51,52,0.001,R
50,51,0.001,R
50,52,0.001,B
52,50,0.001,B
52,51,0.001,L
28,29,0.001,R
28,30,0.001,B
28,31,0.001,L
29,30,0.001,R
29,31,0.001,B
29,28,0.001,L
30,31,0.001,R
30,28,0.001,B
30,29,0.001,L
31,28,0.001,R
31,29,0.001,B
31,30,0.001,L
16,17,0.001,R
16,18,0.001,B
16,19,0.001,L
17,18,0.001,R
17,19,0.001,B
17,16,0.001,L
18,19,0.001,R
18,16,0.001,B
18,17,0.001,L
19,16,0.001,R
19,17,0.001,B
19,18,0.001,L
8,9,0.001,R
8,10,0.001,B
8,11,0.001,L
9,10,0.001,R
9,11,0.001,B
9,8,0.001,L
10,11,0.001,R
10,8,0.001,B
10,9,0.001,L
11,8,0.001,R
11,9,0.001,B
11,10,0.001,L
4,5,0.001,R
4,6,0.001,B
4,7,0.001,L
5,6,0.001,R
5,7,0.001,B
5,4,0.001,L
6,7,0.001,R
6,4,0.001,B
6,5,0.001,L
7,4,0.001,R
7,5,0.001,B
7,6,0.001,L
24,25,0.001,R
24,26,0.001,B
24,27,0.001,L
25,26,0.001,R
25,27,0.001,B
25,24,0.001,L
26,27,0.001,R
26,24,0.001,B
26,25,0.001,L
27,24,0.001,R
27,25,0.001,B
27,26,0.001,L
36,37,0.001,R
36,38,0.001,B
36,39,0.001,L
37,38,0.001,R
37,39,0.001,B
37,36,0.001,L
38,39,0.001,R
38,36,0.001,B
38,37,0.001,L
39,36,0.001,R
39,37,0.001,B
39,38,0.001,L
48,49,0.001,B
49,48,0.001,B
53,54,0.001,B
54,53,0.001,B
1,7,88,F
2,12,120,F
13,19,155,F
14,20,80,F
21,27,70,F
22,32,78,F
33,39,70,F
34,44,85,F
45,48,40,F
49,54,133,F
53,52,18,F
50,42,75,F
43,37,82,F
40,30,78,F
31,25,81,F
28,18,77,F
16,10,120,F
11,5,64,F
26,36,79,F
dummy,vars ,,vars
